country,continent,year,lifeExp,pop,gdpPercap,popmill
Swaziland,Africa,1997,54.289,1054486,3876.76846,1.054486
Sweden,Europe,1997,79.39,8897619,25266.59499,8.897619
Switzerland,Europe,1997,79.37,7193761,32135.32301,7.193761
Syria,Asia,1997,71.527,15081016,4014.238972,15.081016
Taiwan,Asia,1997,75.25,21628605,20206.82098,21.628605
Tanzania,Africa,1997,48.466,30686889,789.1862231,30.686889
Thailand,Asia,1997,67.521,60216677,5852.625497,60.216677
Togo,Africa,1997,58.39,4320890,982.2869243,4.32089
Trinidad and Tobago,Americas,1997,69.465,1138101,8792.573126,1.138101
Tunisia,Africa,1997,71.973,9231669,4876.798614,9.231669
Turkey,Europe,1997,68.835,63047647,6601.429915,63.047647
Uganda,Africa,1997,44.578,21210254,816.559081,21.210254
United Kingdom,Europe,1997,77.218,58808266,26074.53136,58.808266
United States,Americas,1997,76.81,272911760,35767.43303,272.91176
Uruguay,Americas,1997,74.223,3262838,9230.240708,3.262838
Venezuela,Americas,1997,72.146,22374398,10165.49518,22.374398
Vietnam,Asia,1997,70.672,76048996,1385.896769,76.048996
West Bank and Gaza,Asia,1997,71.096,2826046,7110.667619,2.826046
"Yemen, Rep.",Asia,1997,58.02,15826497,2117.484526,15.826497
Zambia,Africa,1997,40.238,9417789,1071.353818,9.417789
Zimbabwe,Africa,1997,46.809,11404948,792.4499603,11.404948
